pT	OO_PGCM	OO_PGCM_unc	NeNe_PGCM	NeNe_PGCM_unc	OO_NLEFT	OO_NLEFT_unc	NeNe_NLEFT	NeNe_NLEFT_unc	XeXe	XeXe_unc	PbPb	PbPb_unc
35.	0.9651348903620813	0.019448698715597124	0.9507766628991587	0.02299336783344802	0.9640590004173039	0.01970114542378376	0.9571025413483772	0.02168698610192904	0.6448517885047396	0.06620723508716647	0.5485690783640793	0.07091200667844211
36.	0.9672551445705355	0.01904890775535517	0.9532739113102603	0.022539344492001234	0.9662051384963394	0.019296714009729377	0.959462685677027	0.021251681554944446	0.6520141539711872	0.06582673848169462	0.5562854209705399	0.07079601847149536
37.	0.969230736255504	0.018667626941926474	0.9556069081210609	0.02210536551401049	0.968205264253392	0.018910979745338508	0.9616650149583003	0.020835964255118855	0.6588732107556002	0.06543401863669618	0.5637166985180901	0.07065222575739383
38.	0.971061665416987	0.018304856275311088	0.9577756533315602	0.021691430899475783	0.970059377688462	0.0185439426306111	0.963709529192197	0.020439834202452267	0.6654289588579787	0.06502907555217102	0.5708629110067299	0.07048062853613751
39.	0.9727479320549844	0.017960595755509123	0.9597801469417586	0.02129754064839723	0.9717674788015492	0.018195602665547206	0.9655962283787173	0.020063291396944516	0.6716813982783225	0.06461190922811927	0.5777240584364594	0.07028122680772647
40.	0.9742895361694962	0.01763484538252047	0.961620388951656	0.020923694760774658	0.9733295675926537	0.017865959850146884	0.9673251125178611	0.019706335838595712	0.6776305290166317	0.06418251966454092	0.5843001408072784	0.0700540205721607
41.	0.9756864777605224	0.01732760515634507	0.9632963793612522	0.02056989323660824	0.9747456440617753	0.017555014184409967	0.9688961816096285	0.01936896752740591	0.6832763510729063	0.06374090686143585	0.590591158119187	0.06979900982944015
42.	0.9769387568280631	0.01703887507698315	0.9648081181705475	0.020236136075897748	0.9760157082089143	0.017262765668336566	0.9703094356540195	0.019051186463375003	0.6886188644471462	0.06328707081880419	0.5965971103721852	0.06951619457956487
43.	0.9780598787960372	0.01676713554042447	0.9661707606154872	0.019920836220624072	0.9771533834413795	0.016987681031043256	0.9715795073010872	0.018751418824200172	0.693680048494865	0.06282326892152679	0.6023365547165604	0.06920900999480534
44.	0.9793871550138789	0.016474432930233207	0.9677628237362182	0.01958435532360553	0.9784989278607195	0.01669146531238358	0.9730718614903155	0.01843035683783778	0.6990088594067296	0.06240588159460536	0.6082729743752441	0.06896325290768202
45.	0.9806401831734135	0.016192317568300585	0.9692696514978381	0.01925964420034415	0.9797694895640577	0.016405952588603556	0.9744826922194455	0.018120676517202117	0.7041489574147246	0.06198804056238638	0.614021082088474	0.06870760158557859
46.	0.9818189632746412	0.01592078945462655	0.9706912439003464	0.01894670285083988	0.9809650685513942	0.016131142859703074	0.9758119994884772	0.017822377862293126	0.7091003425188499	0.06156974582486985	0.6195808778562499	0.06844205602849501
47.	0.9829234953175618	0.015659848589211156	0.9720276009437436	0.018645531275092775	0.9820856648227289	0.015867036125682188	0.9770597832974106	0.01753546087311081	0.7138630147191056	0.06115099738205576	0.6249523616785719	0.06816661623643122
48.	0.9839537793021755	0.015409494972054294	0.9732787226280294	0.018356129473102833	0.9831312783780618	0.015613632386540954	0.9782260436462457	0.01725992554965511	0.7184369740154916	0.060731795233944175	0.6301355335554402	0.06788128220938727
49.	0.9849098152284822	0.01516972860315613	0.9744446089532038	0.018078497444870112	0.9841019092173929	0.015370931642279262	0.9793107805349823	0.016995771891926137	0.7228222204080079	0.060312139380535035	0.6351303934868545	0.06758605394736328
50.	0.9857916030964818	0.014940549482516496	0.9755252599192671	0.017812635190394444	0.9849975573407223	0.015138933892897222	0.9803139939636207	0.01674299989992384	0.7270187538966546	0.05989202982182834	0.639936941472815	0.06728093145035907
51.	0.9865991429061743	0.014721957610135561	0.9765206755262189	0.017558542709675995	0.9858182227480498	0.014917639138394778	0.9812356839321609	0.016501609573648213	0.7310265744814317	0.05947146655782415	0.6445551775133216	0.06696591471837465
52.	0.9873324346575599	0.014513952986013157	0.9774308557740594	0.017316220002714655	0.9865639054393756	0.014707047378771876	0.9820758504406026	0.01627160091309926	0.7348456821623391	0.05905044958852246	0.6489851016083743	0.06664100375141013
53.	0.9879914783506386	0.01431653561014945	0.9782558006627887	0.017085667069510535	0.9872346054146995	0.014507158614028515	0.9828344934889461	0.01605297391827698	0.7384760769393768	0.0586289789139231	0.6532267137579731	0.06630619854946551
54.	0.9885762739854101	0.014129705482544275	0.9789955101924066	0.016866883910063524	0.9878303226740217	0.014317972844164861	0.9835116130771913	0.01584572858918143	0.741917758812545	0.058207054534026303	0.6572800139621181	0.06596149911254062
55.	0.989137905663131	0.013946990362761036	0.979707975629362	0.016652857400725196	0.9884026132139944	0.0141329522397316	0.9841629406486863	0.015643012719734117	0.7452756105822326	0.057790248505496467	0.6612413321146319	0.06561852963940212
56.	0.9898213803725104	0.013750018192314528	0.9805578105953564	0.016423680135537466	0.9890978235424467	0.0139335385617112	0.9849466751063695	0.015425375683516873	0.748847351865264	0.0573943776311735	0.6653841096088714	0.06531028650304715
57.	0.9904678631705623	0.013558913000315365	0.9813647038140131	0.016201157902748953	0.9897556514599178	0.013740059774034918	0.9856895316040942	0.015214122930464813	0.7523068723218201	0.05700211680831824	0.6694088295145806	0.06500062677636292
58.	0.9910773540572868	0.01337367478676349	0.9821286552853322	0.015985290702359545	0.9903760969664082	0.01355251587670303	0.9863915101418606	0.015009254460577826	0.755654171951901	0.05661346603693046	0.6733154918317594	0.06468955045934938
59.	0.9916498530326837	0.013194303551658904	0.9828496650093137	0.015776078534369242	0.9909591600619175	0.01337090686971526	0.9870526107196684	0.014810770273855967	0.7588892507555067	0.05622842531701022	0.6771040965604078	0.06437705755200668
60.	0.9921853600967532	0.013020799295001495	0.9835277329859576	0.015573521398778045	0.9915048407464458	0.013195232753071773	0.987672833337518	0.014618670370299292	0.7620121087326371	0.05584699464855758	0.680774643700526	0.06406314805433466
61.	0.9926838752494951	0.012853162016791542	0.9841628592152638	0.015377619295586065	0.9920131390199932	0.013025493526772625	0.988252177995409	0.014432954749907745	0.7650227458832923	0.05546917403157248	0.6843271332521137	0.06374782196633344
62.	0.9931453984909094	0.012691391717028766	0.9847550436972324	0.01518837222479319	0.9924840548825595	0.012861689190817649	0.9887906446933415	0.014253623412681271	0.7679211622074723	0.05509496346605497	0.6877615652151711	0.06343107928800296
63.	0.9935699298209963	0.01253548839571339	0.9853042864318635	0.01500578018639942	0.992917588334145	0.012703819745206846	0.9892882334313158	0.014080676358619926	0.7707073577051771	0.05472436295200506	0.6910779395896981	0.06311292001934327
64.	0.9939574692397557	0.012385452052845192	0.9858105874191568	0.014829843180404811	0.9933137393747494	0.012551885189940326	0.9897449442093315	0.013914113587723653	0.7733813323764066	0.05435737248942263	0.6942762563756948	0.06279334416035426
65.	0.9943080167471876	0.012241282688424449	0.9862739466591126	0.014660561206809308	0.9936725080043729	0.012405885525018145	0.9901607770273888	0.013753935099992565	0.7759430862211609	0.05399399207830785	0.697356515573161	0.06247235171103599
66.	0.994621572343292	0.012102980302450883	0.9866943641517307	0.014497934265612966	0.9939938942230153	0.012265820750440193	0.9905357318854876	0.013600140895426605	0.7783926192394399	0.05363422171866056	0.700318717182097	0.062149942671388514
67.	0.9948981360280688	0.011970544894924606	0.9870718398970112	0.01434196235681573	0.9942778980306769	0.012131690866206357	0.9908698087836281	0.013452730974025773	0.7807299314312438	0.053278061410480915	0.7031628612025026	0.06182611704141183
68.	0.9951377078015181	0.011843976465845618	0.9874063738949541	0.014192645480417598	0.9945245194273574	0.012003495872316805	0.9911630077218101	0.01331170533579007	0.7829550227965724	0.05292551115376881	0.7058889476343778	0.06150087482110583
69.	0.9953402876636399	0.011723275015213974	0.9876979661455594	0.01404998363641874	0.994733758413057	0.011881235768771647	0.9914153287000337	0.013177063980719439	0.7850678933354258	0.05257657094852425	0.7084969764777227	0.06117421601047063
70.	0.9955314179709247	0.011605048202194879	0.987975809559759	0.013910202109736314	0.9949313954008259	0.011761480981116235	0.9916547580066591	0.013045157950737352	0.7871314032068375	0.05223196113565215	0.7110489591674363	0.06085027743807314
71.	0.9958260428256107	0.011474030028450655	0.9883712762347231	0.01375631416555112	0.995233445780024	0.011628797954625236	0.9920072377720361	0.012899566434772858	0.7894284317351705	0.05189492334787521	0.7138239556530437	0.06054767539900391
72.	0.9961039313825834	0.011346188637156362	0.9887469517406581	0.01360608782713102	0.9955185581455998	0.011499330095455618	0.9923410332792667	0.012757465503229481	0.7916630888349718	0.05156206685670711	0.7165300708923836	0.0602469373596744
73.	0.9963650836418426	0.011221524028312002	0.9891028360775637	0.013459523094475956	0.9957867324975528	0.011373077403607212	0.9926561445283506	0.012618855156107278	0.7938353745062415	0.05123339166214769	0.7191673048854562	0.05994806332008451
74.	0.9966094996033886	0.011100036201917518	0.9894389292454402	0.01331661996758604	0.9960379688358835	0.011250039879080076	0.9929525715192881	0.012483735393406137	0.7959452887489795	0.05090889776419705	0.7217356576322613	0.059651053280234345
75.	0.9968371792672213	0.01098172515797291	0.9897552312442874	0.013177378446461163	0.9962722671605915	0.011130217521874097	0.9932303142520789	0.012352106215126113	0.7979928315631858	0.05058858516285519	0.7242351291327991	0.05935590724012385
76.	0.9970481226333406	0.01086659089647829	0.9900517420741055	0.013041798531101323	0.9964896274716771	0.01101361033198961	0.9934893727267231	0.012223967621267151	0.7999780029488605	0.05027245385812201	0.7266657193870693	0.05906262519975308
77.	0.9972423297017466	0.01075463341743349	0.9903284617348944	0.01290988022150652	0.9966900497691402	0.010900218309426224	0.9937297469432209	0.012099319611829362	0.8019008029060034	0.04996050384999767	0.7290274283950722	0.058771207159121874
78.	0.9974198004724393	0.010645852720838678	0.990585390226654	0.01278162351767681	0.9968735340529807	0.010790041454184163	0.9939514369015721	0.01197816218681258	0.8037612314346146	0.04965273513848206	0.7313202561568075	0.05848165311823045
79.	0.9975805349454187	0.010540248806693686	0.9908225275493845	0.012657028419612193	0.9970400803231988	0.010683079766263315	0.9941544426017768	0.01186049534621697	0.8055592885346943	0.049349147723575126	0.7335442026722755	0.058193963077078636
80.	0.9977245331206847	0.01043782167499857	0.9910398737030858	0.012536094927312669	0.9971896885797943	0.010579333245663791	0.9943387640438348	0.011746319090042479	0.8072949742062422	0.04904974160527703	0.7356992679414761	0.05790813703566655
81.	0.9978517949982374	0.010338571325753554	0.9912374286877578	0.01241882304077807	0.9973223588227673	0.010478801892385481	0.9945044012277463	0.011635633418289049	0.8089682884492584	0.04875451678358761	0.7377854519644091	0.05762417499399408
